"LH","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,1,0,0,3
27,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,0,1,2,0,2,2
29,0,1,0,0,1,0,1,0,0,4,5,0,6,11
30,0,7,6,0,5,4,82,0,0,26,15,4,39,11
31,0,7,0,0,19,0,93,2,0,69,17,5,82,13
32,0,8,2,1,69,4,260,8,0,131,13,9,104,20
33,0,9,7,0,85,9,372,25,0,229,41,10,86,32
34,0,4,18,1,117,0,407,61,0,171,104,10,73,137
35,0,40,35,15,169,5,501,156,0,155,275,21,32,446
36,4,147,92,131,87,51,473,207,2,128,883,49,84,889
37,4,417,142,282,103,115,523,445,15,115,1499,194,201,1159
38,22,743,259,318,64,292,374,467,34,129,2060,495,359,1150
39,43,855,435,533,91,579,429,802,88,239,1937,964,533,930
40,119,783,601,1030,141,433,275,1210,1063,688,1577,1449,906,896
41,209,630,645,904,161,335,176,990,1225,1068,921,1425,1002,716
42,386,573,675,1034,168,394,116,1161,1720,1412,598,1144,1116,779
43,553,416,632,1037,191,266,173,1093,1490,1939,429,805,1167,679
44,662,358,699,1230,225,382,180,912,1316,2020,455,627,973,606
45,688,288,758,1067,280,466,183,885,1594,2079,648,691,1039,631
46,603,279,709,1108,321,351,211,730,856,1459,623,640,817,394
47,457,248,751,986,351,328,203,692,574,1046,766,676,834,426
48,223,153,682,904,258,322,177,532,387,620,732,692,642,342
49,126,91,519,658,233,242,141,443,226,361,531,617,587,284
50,68,46,306,495,151,124,125,255,117,169,386,635,373,197
51,28,21,122,254,89,74,76,173,77,104,200,466,194,130
52,9,7,50,88,43,69,48,117,49,35,127,256,174,66
53,1,1,7,37,6,37,23,76,36,10,38,146,107,37
54,4,2,0,4,2,13,11,28,8,8,19,81,27,8
55,0,0,9,1,0,5,3,11,3,4,8,19,9,7
56,0,0,1,0,0,0,1,4,2,1,5,6,0,0
57,0,1,0,0,0,0,1,1,0,0,0,0,5,0
58,0,0,0,0,0,0,0,0,0,0,1,1,1,0
59,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,1,0,0
